customer_id,full_name,email,country,signup_date,customer_segment,lifetime_value,currency
C0001,Sample Customer 1,customer1@example.com,United Kingdom,2025-01-02,Standard,12,GBP
C0002,Sample Customer 2,customer2@example.com,United Kingdom,2025-01-03,Standard,24,GBP
C0003,Sample Customer 3,customer3@example.com,united kingdom,2025-01-04,Standard,36,GBP
C0004,Sample Customer 4,customer4@example.com,United Kingdom,2025-01-05,Standard,48,GBP
C0005,Sample Customer 5,customer5@example.com,United Kingdom,2025-01-06,Standard,60,GBP
C0006,Sample Customer 6,customer6@example.com,united kingdom,2025-01-07,Standard,72,GBP
C0007,Sample Customer 7,customer7@example.com,United Kingdom,2025-01-08,Standard,84,GBP
C0008,Sample Customer 8,customer8@example.com,United Kingdom,2025-01-09,Standard,96,GBP
C0009, Sample Customer 9 ,customer9@example.com,united kingdom,2025-01-10,Standard,108,GBP
C0010,Sample Customer 10,customer10@example.com,United Kingdom,2025-01-11,Standard,120,GBP
C0011,Sample Customer 11,customer11@example.com,United Kingdom,2025-01-12,Standard,132,GBP
C0012,Sample Customer 12,customer12@example.com,united kingdom,2025-01-13,Standard,144,GBP
C0013,Sample Customer 13,customer13@example.com,United Kingdom,2025-01-14,,156,GBP
C0014,Sample Customer 14,customer14@example.com,United Kingdom,2025-01-15,Standard,168,GBP
C0015,Sample Customer 15,customer15@example.com,united kingdom,2025-01-16,Standard,180,GBP
C0016,Sample Customer 16,customer16@example.com,United Kingdom,2025-01-17,Standard,192,GBP
C0017,Sample Customer 17,invalid-email,United Kingdom,2025-01-18,Standard,204,GBP
C0018, Sample Customer 18 ,customer18@example.com,united kingdom,2025-01-19,Standard,216,GBP
C0019,Sample Customer 19,customer19@example.com,United Kingdom,2025-01-20,Standard,228,GBP
C0020,Sample Customer 20,customer20@example.com,United Kingdom,2025-01-21,Standard,240,GBP
C0021,Sample Customer 21,customer21@example.com,united kingdom,2025-01-22,Standard,252,GBP
C0022,Sample Customer 22,customer22@example.com,United Kingdom,2025-01-23,Standard,264,GBP
C0023,Sample Customer 23,customer23@example.com,United Kingdom,2025-01-24,Standard,276,GBP
C0024,Sample Customer 24,customer24@example.com,united kingdom,2025-01-25,Standard,288,GBP
C0025,Sample Customer 25,customer25@example.com,United Kingdom,2025-01-26,Standard,300,GBP
C0026,Sample Customer 26,customer26@example.com,United Kingdom,2025-01-27,,312,GBP
C0027, Sample Customer 27 ,customer27@example.com,united kingdom,2025-01-28,Standard,324,GBP
C0028,Sample Customer 28,customer28@example.com,United Kingdom,2025-01-01,Standard,336,GBP
C0029,Sample Customer 29,customer29@example.com,United Kingdom,2025-01-02,Standard,-25,GBP
C0030,Sample Customer 30,customer30@example.com,united kingdom,2025-01-03,Standard,360,GBP
C0031,Sample Customer 31,customer31@example.com,United Kingdom,2025-01-04,Standard,372,GBP
C0032,Sample Customer 32,customer32@example.com,United Kingdom,2025-01-05,Standard,384,GBP
C0033,Sample Customer 33,customer33@example.com,united kingdom,2025-01-06,Standard,396,GBP
C0034,Sample Customer 34,invalid-email,United Kingdom,2025-01-07,Standard,408,GBP
C0035,Sample Customer 35,customer35@example.com,United Kingdom,2025-01-08,Standard,420,GBP
C0036, Sample Customer 36 ,customer36@example.com,united kingdom,2025-01-09,Standard,432,GBP
C0037,Sample Customer 37,customer37@example.com,United Kingdom,2025-01-10,Standard,444,GBP
C0038,Sample Customer 38,customer38@example.com,United Kingdom,2025-01-11,Standard,456,GBP
C0039,Sample Customer 39,customer39@example.com,united kingdom,2025-01-12,,468,GBP
C0040,Sample Customer 40,customer40@example.com,United Kingdom,2025-01-13,Standard,480,GBP
C0041,Sample Customer 41,customer41@example.com,United Kingdom,2025-01-14,Standard,492,GBP
